X_Value Y_Value Z_Value a b c
38.95 -4.349998 6.45 0 0 0 
-58.25 16.05 3.45 0 0 0 
50.95 15.15 0.45 0 0 0 
47.05 22.95 1.65 0 0 0 
25.75 -6.449997 4.95 0 0 0 
51.55 28.95 -0.15 0 0 0 
-60.05 12.15 7.05 0 0 0 
52.14999 16.95 -0.15 0 0 0 
48.25 18.15 -1.05 0 0 0 
58.14999 11.55 8.55 0 0 0 
43.75 36.75 -0.75 0 0 0 
-46.85001 7.349998 15.15 0 0 0 
54.85001 38.25 3.15 0 0 0 
32.95 60.45 0.15 0 0 0 
45.25 30.45 -0.75 0 0 0 
50.64999 12.15 0.15 0 0 0 
49.45 2.25 2.55 0 0 0 
-53.45 44.55 5.55 0 0 0 
-9.649994 66.14999 0.15 0 0 0 
-57.64999 35.55 8.25 0 0 0 
-64.25 16.65 4.05 0 0 0 
54.55 9.75 7.65 0 0 0 
-62.14999 32.25 7.35 0 0 0 
46.45 38.55 1.95 0 0 0 
52.14999 31.95 0.15 0 0 0 
-61.85001 20.25 7.65 0 0 0 
38.35001 50.25 0.45 0 0 0 
56.04999 11.85 0.75 0 0 0 
-1.25 10.35 6.15 0 0 0 
-60.95 35.85 9.75 0 0 0 
-62.75 23.55 0.75 0 0 0 
-39.64999 62.25 3.45 0 0 0 
-45.64999 63.75 1.95 0 0 0 
-0.3500061 10.95 3.15 0 0 0 
-33.64999 63.75 3.15 0 0 0 
30.85001 -8.550003 11.55 0 0 0 
46.14999 0.75 6.75 0 0 0 
46.75 1.050003 3.45 0 0 0 
32.35001 -9.449997 -0.45 0 0 0 
57.54999 5.550003 12.45 0 0 0 
27.85001 -7.349998 13.65 0 0 0 
-61.85001 33.45 8.85 0 0 0 
58.14999 15.45 7.05 0 0 0 
47.35001 25.05 2.55 0 0 0 
51.85001 29.25 4.35 0 0 0 
55.75 8.849998 11.85 0 0 0 
-44.45 58.95 0.15 0 0 0 
40.45 -4.650002 6.75 0 0 0 
-30.35001 54.45 4.35 0 0 0 
-64.25 14.55 6.15 0 0 0 
59.04999 13.65 11.85 0 0 0 
29.35001 -7.650002 7.65 0 0 0 
61.14999 16.95 7.05 0 0 0 
-42.35001 58.95 4.65 0 0 0 
44.95 -0.4499969 -0.75 0 0 0 
34.14999 -7.949997 4.35 0 0 0 
-52.25 37.65 -0.45 0 0 0 
39.55 52.35 -1.05 0 0 0 
54.25 4.650002 1.95 0 0 0 
-59.75 22.95 5.25 0 0 0 
-54.64999 31.95 0.45 0 0 0 
-52.85001 37.05 9.75 0 0 0 
-59.14999 27.45 1.35 0 0 0 
43.14999 46.05 1.05 0 0 0 
-58.25 33.75 -0.75 0 0 0 
-63.64999 12.15 1.65 0 0 0 
-58.25 23.25 4.05 0 0 0 
37.45 -4.650002 -0.15 0 0 0 
27.85001 -8.849998 -1.05 0 0 0 
39.55 17.55 9.15 0 0 0 
-65.45 13.65 -0.15 0 0 0 
-4.850006 21.75 3.15 0 0 0 
-2.75 9.150002 9.45 0 0 0 
46.45 33.15 -0.15 0 0 0 
46.14999 35.55 1.05 0 0 0 
40.45 -3.75 10.35 0 0 0 
-45.95 59.55 2.25 0 0 0 
2.050003 17.25 1.95 0 0 0 
48.55 28.35 2.85 0 0 0 
54.85001 10.05 -0.75 0 0 0 
-47.14999 60.75 3.75 0 0 0 
46.75 -2.550003 9.75 0 0 0 
49.14999 34.05 4.65 0 0 0 
-55.85001 38.85 8.55 0 0 0 
33.85001 54.14999 0.45 0 0 0 
-12.95 66.45 0.45 0 0 0 
56.04999 18.45 6.15 0 0 0 
35.64999 -7.050003 13.35 0 0 0 
53.35001 11.25 7.65 0 0 0 
46.14999 34.65 -0.15 0 0 0 
46.75 -1.349998 15.45 0 0 0 
-57.95 33.15 7.95 0 0 0 
-60.64999 21.15 3.45 0 0 0 
-20.45 68.25 2.85 0 0 0 
-0.3500061 11.55 7.05 0 0 0 
53.64999 7.650002 3.75 0 0 0 
-51.05 50.25 3.15 0 0 0 
-59.14999 35.55 4.65 0 0 0 
-57.64999 27.15 1.05 0 0 0 
49.14999 30.75 5.85 0 0 0 
-58.25 32.25 3.45 0 0 0 
-16.55 67.35001 2.25 0 0 0 
49.75 -3.75 12.75 0 0 0 
3.25 7.650002 -1.05 0 0 0 
-61.55 29.85 4.05 0 0 0 
-61.55 18.75 -0.45 0 0 0 
-60.64999 12.75 4.95 0 0 0 
-51.95 41.55 -0.45 0 0 0 
-61.85001 16.95 9.75 0 0 0 
56.64999 12.75 2.25 0 0 0 
52.45 3.150002 9.45 0 0 0 
-35.75 68.85001 2.55 0 0 0 
-55.25 30.45 -1.05 0 0 0 
-19.25 65.55 3.75 0 0 0 
-41.75 68.55 2.85 0 0 0 
-12.64999 65.25 -0.45 0 0 0 
48.25 24.75 1.05 0 0 0 
40.75 -5.25 1.65 0 0 0 
37.45 -8.550003 10.65 0 0 0 
44.64999 45.15 4.35 0 0 0 
-60.05 24.45 4.95 0 0 0 
-48.05 55.64999 -0.45 0 0 0 
-63.05 20.55 1.95 0 0 0 
52.14999 8.849998 8.55 0 0 0 
50.05 1.050003 7.65 0 0 0 
-50.45 43.35 4.05 0 0 0 
53.64999 8.550003 9.45 0 0 0 
29.35001 54.45 1.05 0 0 0 
45.25 39.75 5.25 0 0 0 
32.64999 52.65 -1.05 0 0 0 
-50.14999 47.85 3.15 0 0 0 
32.35001 53.55 1.05 0 0 0 
45.55 32.25 3.15 0 0 0 
-43.85001 53.85001 4.95 0 0 0 
29.05 -9.449997 7.95 0 0 0 
-45.95 61.64999 3.75 0 0 0 
60.25 16.35 4.05 0 0 0 
49.75 0.75 2.55 0 0 0 
53.64999 13.95 5.55 0 0 0 
52.45 6.75 4.35 0 0 0 
54.55 7.050003 9.45 0 0 0 
50.05 0.75 4.35 0 0 0 
43.75 -2.550003 8.85 0 0 0 
-62.14999 10.35 5.25 0 0 0 
34.14999 -7.349998 13.95 0 0 0 
46.14999 43.05 0.75 0 0 0 
23.35001 -4.050003 7.05 0 0 0 
53.95 5.25 3.75 0 0 0 
-57.64999 20.25 6.75 0 0 0 
38.35001 -7.050003 0.15 0 0 0 
53.35001 9.150002 7.05 0 0 0 
48.55 1.949997 7.35 0 0 0 
-49.25 48.75 0.15 0 0 0 
51.25 4.349998 3.75 0 0 0 
-39.05 59.55 4.65 0 0 0 
48.55 0.1500015 3.75 0 0 0 
50.95 1.349998 15.45 0 0 0 
-60.35001 21.15 -0.45 0 0 0 
-59.14999 19.05 1.35 0 0 0 
36.55 -5.849998 13.35 0 0 0 
48.25 30.75 3.15 0 0 0 
-61.85001 18.45 5.25 0 0 0 
40.75 -2.550003 14.55 0 0 0 
-54.64999 42.15 4.95 0 0 0 
49.45 -1.050003 9.75 0 0 0 
42.25 -5.25 7.65 0 0 0 
30.55 -12.15 16.05 0 0 0 
44.95 -2.25 12.75 0 0 0 
53.05 15.45 5.85 0 0 0 
-58.25 28.35 -0.45 0 0 0 
14.95 -5.550003 10.35 0 0 0 
33.25 -10.05 1.35 0 0 0 
51.25 20.85 1.35 0 0 0 
33.85001 -8.25 11.55 0 0 0 
6.25 17.25 0.75 0 0 0 
25.14999 -5.550003 13.65 0 0 0 
-49.55 45.75 4.35 0 0 0 
-6.350006 10.65 4.95 0 0 0 
-54.95 41.25 -0.75 0 0 0 
-61.55 19.05 1.05 0 0 0 
-58.25 8.550003 6.45 0 0 0 
-56.75 33.15 2.25 0 0 0 
-32.75 62.25 4.05 0 0 0 
26.64999 -7.650002 4.35 0 0 0 
48.25 42.45 5.55 0 0 0 
-61.25 10.05 2.85 0 0 0 
51.55 4.949997 1.95 0 0 0 
36.55 54.14999 1.05 0 0 0 
-9.050003 64.95 3.45 0 0 0 
21.25 33.75 0.75 0 0 0 
44.05 -0.75 1.05 0 0 0 
28.75 -7.650002 4.95 0 0 0 
45.85001 19.05 8.85 0 0 0 
-55.55 40.95 6.15 0 0 0 
44.64999 31.05 0.75 0 0 0 
47.35001 30.15 4.05 0 0 0 
-50.14999 15.75 5.25 0 0 0 
-53.45 46.05 4.35 0 0 0 
-60.35001 10.05 5.25 0 0 0 
-15.95 66.14999 4.05 0 0 0 
53.95 3.150002 9.75 0 0 0 
53.35001 13.05 2.25 0 0 0 
46.45 28.35 0.45 0 0 0 
49.45 0.4499969 11.85 0 0 0 
47.64999 0.1500015 6.15 0 0 0 
57.54999 13.35 11.55 0 0 0 
40.14999 49.35 1.65 0 0 0 
24.55 -6.449997 9.75 0 0 0 
49.75 -0.4499969 13.65 0 0 0 
50.05 16.35 1.95 0 0 0 
43.14999 -2.550003 3.15 0 0 0 
48.55 34.05 6.15 0 0 0 
-46.55 49.35 0.75 0 0 0 
-30.64999 67.05 0.15 0 0 0 
54.85001 5.550003 11.55 0 0 0 
-37.25 49.05 5.85 0 0 0 
-50.14999 47.25 4.65 0 0 0 
50.64999 20.85 4.95 0 0 0 
35.05 -7.650002 7.65 0 0 0 
-60.35001 11.85 1.35 0 0 0 
41.95 -2.849998 16.05 0 0 0 
48.55 25.05 5.85 0 0 0 
-64.25 11.85 4.35 0 0 0 
30.55 52.95 1.05 0 0 0 
55.45 11.55 2.25 0 0 0 
54.55 5.849998 13.95 0 0 0 
36.85001 -7.050003 0.15 0 0 0 
-64.55 16.35 0.45 0 0 0 
57.25 5.550003 15.75 0 0 0 
54.85001 10.65 3.15 0 0 0 
59.64999 16.65 7.05 0 0 0 
-57.35001 23.85 7.65 0 0 0 
35.35001 -8.550003 9.15 0 0 0 
43.14999 -1.949997 1.35 0 0 0 
22.45 -3.75 8.55 0 0 0 
-60.05 23.85 -0.75 0 0 0 
48.85001 20.55 1.35 0 0 0 
53.95 4.349998 11.55 0 0 0 
-61.25 21.45 8.55 0 0 0 
51.55 16.65 1.95 0 0 0 
-34.85001 56.55 4.35 0 0 0 
38.35001 -5.550003 0.75 0 0 0 
-64.25 12.75 0.15 0 0 0 
-52.85001 40.65 4.95 0 0 0 
-18.35001 67.64999 1.35 0 0 0 
-54.64999 37.65 -0.15 0 0 0 
33.55 51.75 1.65 0 0 0 
-57.64999 28.95 0.75 0 0 0 
56.35001 13.05 10.35 0 0 0 
-61.25 14.55 -1.05 0 0 0 
-56.75 32.85 5.25 0 0 0 
-45.95 61.35001 -0.15 0 0 0 
-59.14999 25.95 5.25 0 0 0 
50.95 15.15 6.45 0 0 0 
40.14999 -3.75 15.45 0 0 0 
57.54999 11.25 3.15 0 0 0 
-59.75 28.95 0.15 0 0 0 
38.05 47.85 0.15 0 0 0 
45.85001 36.45 3.15 0 0 0 
10.14999 7.949997 5.55 0 0 0 
-52.85001 43.05 3.75 0 0 0 
-63.05 13.95 3.75 0 0 0 
-56.45 8.849998 11.85 0 0 0 
-44.45 57.45 3.45 0 0 0 
-64.55 20.25 -0.45 0 0 0 
41.64999 -5.25 5.85 0 0 0 
57.54999 15.15 5.25 0 0 0 
45.25 34.65 1.95 0 0 0 
-43.25 64.95 -0.45 0 0 0 
-56.14999 25.65 8.85 0 0 0 
43.75 -1.050003 3.15 0 0 0 
53.64999 8.849998 -0.75 0 0 0 
-63.95 23.55 2.25 0 0 0 
49.75 24.75 2.85 0 0 0 
-55.85001 34.95 0.15 0 0 0 
-60.64999 15.15 1.95 0 0 0 
35.35001 -7.050003 10.05 0 0 0 
-48.05 55.64999 1.35 0 0 0 
-59.45 11.55 8.85 0 0 0 
38.95 11.55 8.85 0 0 0 
13.75 28.65 -1.35 0 0 0 
39.55 -4.349998 1.35 0 0 0 
-59.75 13.35 3.45 0 0 0 
48.55 -0.75 0.45 0 0 0 
-37.55 67.35001 1.05 0 0 0 
-59.75 28.95 8.85 0 0 0 
-22.25 47.55 4.95 0 0 0 
-19.25 49.35 7.05 0 0 0 
-46.25 54.75 4.05 0 0 0 
-15.95 66.45 1.35 0 0 0 
45.25 38.55 4.35 0 0 0 
45.25 33.75 0.45 0 0 0 
48.25 25.05 4.05 0 0 0 
52.45 2.849998 13.35 0 0 0 
54.85001 13.05 6.45 0 0 0 
50.95 14.25 1.65 0 0 0 
52.14999 11.85 2.55 0 0 0 
54.55 8.849998 2.55 0 0 0 
49.14999 21.45 2.85 0 0 0 
-18.35001 66.75 3.75 0 0 0 
8.050003 15.75 0.75 0 0 0 
46.14999 -0.1500015 4.05 0 0 0 
39.25 -6.150002 10.05 0 0 0 
35.05 -8.550003 3.15 0 0 0 
-49.85001 50.25 0.75 0 0 0 
-53.75 40.05 4.05 0 0 0 
-60.64999 37.05 8.85 0 0 0 
-59.45 34.35 3.75 0 0 0 
-56.75 31.35 4.95 0 0 0 
-60.95 23.55 4.35 0 0 0 
-54.95 9.150002 10.95 0 0 0 
-61.55 21.45 0.75 0 0 0 
52.45 10.95 0.15 0 0 0 
-60.95 25.65 -0.45 0 0 0 
56.64999 8.849998 -1.05 0 0 0 
-46.25 62.85001 -0.45 0 0 0 
-49.55 51.15 2.85 0 0 0 
25.08292 -12.3376 1.35 0 0 0 
-33.55022 2.303288 8.85 0 0 0 
-8.751625 -1.85363 -1.35 0 0 0 
26.28181 -13.95397 6.75 0 0 0 
6.12468 0.1602058 9.45 0 0 0 
5.446722 -1.177849 8.55 0 0 0 
-23.38459 -3.519936 1.95 0 0 0 
-28.85812 1.607494 16.05 0 0 0 
-45.31509 5.102871 4.95 0 0 0 
42.56682 -4.380665 6.75 0 0 0 
-60.39906 9.449606 1.65 0 0 0 
-10.26309 1.535393 4.65 0 0 0 
-40.64011 6.231829 14.55 0 0 0 
28.07159 -15.46616 -0.15 0 0 0 
-28.14592 -0.7039471 7.05 0 0 0 
22.49387 -9.747837 4.05 0 0 0 
-33.95057 -2.336723 0.15 0 0 0 
