Report_Number, Iceberg_Number, X_Value, Y_Value, Z_Value
12, R12I08, 130.2118, -35.10761, -10
12, R12I08, 130.5499, -38.15064, -10
12, R12I08, 130.8129, -41.15611, -10
12, R12I08, 131.2637, -44.57483, -10
12, R12I08, 131.7897, -48.06868, -10
12, R12I08, 131.8273, -51.26199, -10
12, R12I08, 131.7897, -54.41772, -10
12, R12I08, 131.8273, -57.49833, -10
12, R12I08, 132.0903, -60.65407, -10
12, R12I08, 132.2781, -64.26063, -10
12, R12I08, 132.5411, -67.67935, -10
12, R12I08, 132.5035, -70.94779, -10
12, R12I08, 132.2781, -74.47921, -10
12, R12I08, 131.9024, -78.01064, -10
12, R12I08, 131.4891, -81.50449, -10
12, R12I08, 131.1886, -84.50996, -10
12, R12I08, 130.9256, -87.59057, -10
12, R12I08, 131.151, -91.15955, -10
12, R12I08, 130.3245, -95.10423, -10
12, R12I08, 129.0472, -98.86106, -10
12, R12I08, 128.4837, -102.2798, -10
12, R12I08, 127.5444, -105.2477, -10
12, R12I08, 126.4174, -108.3283, -10
12, R12I08, 125.0649, -111.4465, -10
12, R12I08, 123.3744, -114.3016, -10
12, R12I08, 121.4208, -116.8563, -10
12, R12I08, 118.4905, -118.9977, -10
12, R12I08, 115.748, -120.4628, -10
12, R12I08, 112.968, -122.0407, -10
12, R12I08, 109.7371, -122.5291, -10
12, R12I08, 106.3559, -122.454, -10
12, R12I08, 103.0875, -122.2286, -10
12, R12I08, 100.2699, -121.1767, -10
12, R12I08, 97.11411, -119.7491, -10
12, R12I08, 93.65784, -118.7347, -10
12, R12I08, 90.50209, -117.5325, -10
12, R12I08, 87.27122, -116.4806, -10
12, R12I08, 83.89007, -114.8276, -10
12, R12I08, 80.95972, -113.8884, -10
12, R12I08, 77.80402, -113.5503, -10
12, R12I08, 74.83611, -114.2641, -10
12, R12I08, 71.86821, -115.4287, -10
12, R12I08, 69.20087, -116.8939, -10
12, R12I08, 66.15784, -116.5557, -10
12, R12I08, 67.13461, -113.663, -10
12, R12I08, 69.08814, -111.0708, -10
12, R12I08, 67.66058, -108.3283, -10
12, R12I08, 64.95563, -106.6377, -10
12, R12I08, 62.02532, -108.2156, -10
12, R12I08, 59.6585, -110.4697, -10
12, R12I08, 57.36684, -112.6111, -10
12, R12I08, 54.54922, -111.484, -10
12, R12I08, 53.91053, -108.4785, -10
12, R12I08, 53.30944, -105.3228, -10
12, R12I08, 51.0929, -103.1814, -10
12, R12I08, 47.74936, -102.693, -10
12, R12I08, 78.74323, 91.42252, -20
12, R12I08, 80.58404, 88.60489, -20
12, R12I08, 82.57518, 86.12539, -20
12, R12I08, 84.97956, 83.72101, -20
12, R12I08, 87.1585, 81.6172, -20
12, R12I08, 89.56288, 78.98741, -20
12, R12I08, 91.62914, 76.1322, -20
12, R12I08, 93.39487, 73.54, -20
12, R12I08, 95.04784, 71.02292, -20
12, R12I08, 97.15171, 67.86717, -20
12, R12I08, 98.84229, 65.35011, -20
12, R12I08, 100.7958, 62.4949, -20
12, R12I08, 102.2234, 59.67728, -20
12, R12I08, 103.4256, 56.89724, -20
12, R12I08, 105.1162, 54.04203, -20
12, R12I08, 107.0697, 50.84872, -20
12, R12I08, 109.0233, 48.0311, -20
12, R12I08, 111.2398, 45.13833, -20
12, R12I08, 113.3437, 42.65883, -20
12, R12I08, 115.2972, 40.32959, -20
12, R12I08, 117.4762, 37.62467, -20
12, R12I08, 119.4673, 35.22031, -20
12, R12I08, 121.2706, 32.47783, -20
12, R12I08, 123.1114, 29.32207, -20
12, R12I08, 124.9898, 26.27905, -20
12, R12I08, 126.718, 23.38628, -20
12, R12I08, 128.371, 20.11783, -20
12, R12I08, 130.1742, 17.22507, -20
