Report_Number, Iceberg_Number, X_Value, Y_Value, Z_Value
11, R11I03, -40.852, -3.591, 50
11, R11I03, -36.917, -3.812, 50
11, R11I03, -39.852, -1.696999, 50
11, R11I03, -36.046, 1.368, 50
11, R11I03, -33.01, 0.612999, 50
11, R11I03, -28.952, 2.389999, 50
11, R11I03, -17.054, 5.132999, 50
11, R11I03, -15.953, 3.347, 50
11, R11I03, -11.583, 5.195999, 50
11, R11I03, -0.1030006, 10.302, 50
11, R11I03, 5.801001, 12.181, 50
11, R11I03, 20.0553, 5.222, 50
11, R11I03, 31.32709, -10.823, 50
11, R11I03, 91.3493, -2.097, 47.5
11, R11I03, 82.8656, 15.778, 47.5
11, R11I03, 81.3681, 20.499, 47.5
11, R11I03, 79.2304, 20.833, 47.5
11, R11I03, 73.3443, 31.287, 47.5
11, R11I03, 88.6771, 36.792, 47.5
11, R11I03, 90.5576, 34.279, 47.5
11, R11I03, 91.2671, 34.286, 47.5
11, R11I03, 93.2085, 33.718, 47.5
11, R11I03, 93.3685, 34.814, 47.5
11, R11I03, 90.9286, 36.931, 47.5
11, R11I03, 100.3998, 41.3336, 47.5
11, R11I03, 102.8274, 41.058, 47.5
11, R11I03, 112.235, 42.6905, 47.5
11, R11I03, 125.26, 35.279, 47.5
11, R11I03, 134.346, 18.538, 47.5
11, R11I03, 140.695, 1.811001, 47.5
11, R11I03, 133.887, -10.544, 47.5
11, R11I03, 128.958, -15.177, 47.5
11, R11I03, 122.5929, -16.407, 47.5
11, R11I03, 102.6614, -13.595, 47.5
11, R11I03, 96.856, -13.044, 47.5
11, R11I03, 95.0812, -7.911999, 47.5
11, R11I03, 91.3493, -2.097, 47.5
11, R11I03, 36.832, -8.257, 47.5
11, R11I03, 43.5293, -15.019, 47.5
11, R11I03, 45.6076, -15.494, 47.5
11, R11I03, 50.2115, -13.804, 47.5
11, R11I03, 63.2933, -17.265, 47.5
11, R11I03, 65.2323, -19.598, 47.5
11, R11I03, 68.673, -19.389, 47.5
11, R11I03, 68.6344, -21.689, 47.5
11, R11I03, 60.06, -25.521, 47.5
11, R11I03, 49.72, -31.979, 47.5
11, R11I03, 35.8458, -36.148, 47.5
11, R11I03, 22.69847, -36.78, 47.5
11, R11I03, -11.707, -40.795, 47.5
11, R11I03, -79.65, -62.31, 47.5
11, R11I03, -88.09, -64.15, 47.5
11, R11I03, -89.26, -61.53, 47.5
11, R11I03, -90.98, -58.25, 47.5
11, R11I03, -91.93, -56.56, 47.5
11, R11I03, -91.22, -53.64, 47.5
11, R11I03, -93.09, -50.697, 47.5
11, R11I03, -95.23, -48.304, 47.5
11, R11I03, -94.13, -27.447, 47.5
11, R11I03, -87.5, -13.965, 47.5
11, R11I03, -83.53, -7.963001, 47.5
11, R11I03, -75.827, -0.1549988, 47.5
11, R11I03, -69.501, -10, 47.5
11, R11I03, -67.288, -11.234, 47.5
11, R11I03, -70.351, -0.2439995, 47.5
11, R11I03, -68.453, 1.713001, 47.5
11, R11I03, -66.364, 1.785, 47.5
11, R11I03, -67.86, 4.118, 47.5
11, R11I03, -65.321, 9.497002, 47.5
11, R11I03, -59.632, 13.693, 47.5
11, R11I03, -47.202, 7.167, 47.5
11, R11I03, -44.909, 7.637001, 47.5
11, R11I03, 130.561, 9.112, 70
11, R11I03, 129.379, 9.294998, 70
11, R11I03, 129.606, 8.411999, 70
11, R11I03, 130.561, 9.112, 70
11, R11I03, -79.37, -47.307, 67.5
11, R11I03, -81.52, -46.375, 67.5
